Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Word,Status,Lure,LureTalker,Task,Judgment,JudgmentCorrect,Talker,Attribution,AttributionCorrect,AttributionLureTalker,TrialCorrect
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,color,old,False,NA,Recall,old,True,conner,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,compete,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,criminal,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,cup,new,False,NA,NA,old,False,NA,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,death,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,dentist,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,doctor,new,True,deshaun,NA,old,False,NA,deshaun,False,True,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,feather,old,False,NA,Math,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,feline,old,False,NA,Recall,old,True,conner,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,fib,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,fight,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,frigid,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,fruit,new,True,conner,NA,old,False,NA,deshaun,False,False,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,fudge,old,False,NA,Math,old,True,conner,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,fur,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,gang,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,garbage,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,goat,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,goblet,new,False,NA,NA,old,False,NA,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,government,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,gun,new,True,conner,NA,old,False,NA,conner,False,True,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,handle,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,hard,old,False,NA,Math,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,hatred,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,hill,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,homicide,old,False,NA,Math,old,True,conner,conner,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,honey,old,False,NA,Math,new,False,conner,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,hot,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,ire,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,jail,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,kill,new,True,conner,NA,old,False,NA,conner,False,True,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,kind,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,law,new,True,deshaun,NA,old,False,NA,conner,False,False,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,lie,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,life,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,lion,new,True,conner,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,mad,old,False,NA,Math,new,False,conner,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,military,old,False,NA,Recall,new,False,conner,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,mountain,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,mug,new,False,NA,NA,old,False,NA,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,needle,new,True,deshaun,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,nurse,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,officer,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,patient,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,peak,new,False,NA,NA,old,False,NA,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,pear,old,False,NA,Recall,old,True,conner,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,pistol,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,police,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,prick,old,False,NA,Math,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,prison,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,punishment,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,punk,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,recliner,old,False,NA,Math,old,True,conner,deshaun,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,rights,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,rob,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,robber,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,rubbish,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,school,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,sewage,new,False,NA,NA,new,True,NA,NA,NA,NA,False
